03/02/22 08:30:49:613 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 7428 | Sandbox process request: 3 || ServerAliasBlocked * AdobeGenuineNSLookUpData *  | 
03/02/22 08:30:51:935 | [ERROR] |  |  |  | IPCXMLUtilityLog |  |  | 7428 | IPC Server : Failed to make connection on named pipe, Error = 536
03/02/22 08:30:51:935 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 7428 | Sandbox process response: 
03/02/22 08:30:51:935 | [ERROR] |  |  |  | AdobeGCClientNSLookup |  |  | 7428 | Failed to delete server alias blocked key. Error: 0
03/02/22 08:30:51:935 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 7428 | Delete server alias value
03/02/22 08:30:51:935 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 7428 | Sandbox process request: 3 || ServerAlias * AdobeGenuineNSLookUpData *  | 
03/02/22 08:30:54:191 | [ERROR] |  |  |  | IPCXMLUtilityLog |  |  | 7428 | IPC Server : Failed to make connection on named pipe, Error = 536
03/02/22 08:30:54:191 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 7428 | Sandbox process response: 
03/02/22 08:30:54:191 | [ERROR] |  |  |  | AdobeGCClientNSLookup |  |  | 7428 | Failed to delete server alias value. Error: 0
03/02/22 08:30:54:191 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 7428 | Threaded CFU Started
03/02/22 08:30:54:191 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 7428 | Update call started
03/02/22 08:30:54:321 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 7428 | Suppress Update Flag = 0
03/02/22 08:30:54:321 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 7428 | GC Kill Switch = 0
03/02/22 08:30:54:321 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 7428 | Sandbox process request: 1 || NextUpdateCheckDate * AdobeGenuineWaitTimestamps *  | 
03/02/22 08:30:56:584 | [ERROR] |  |  |  | IPCXMLUtilityLog |  |  | 7428 | IPC Server : Failed to make connection on named pipe, Error = 536
03/02/22 08:30:56:585 | [INFO] |  |  |  | WinSandboxingUtilities |  |  | 7428 | Sandbox process response: 
03/02/22 08:30:56:717 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 7428 | Preparing Data For CFU started
03/02/22 08:30:56:717 | [INFO] |  |  |  | SLCoreService |  |  | 7428 | Starting up SLCore 2.0 Release (build 2.0.1.360321).
03/02/22 08:30:56:717 | [ERROR] |  |  |  | SLCoreService |  |  | 7428 | user based licensing: 0
03/02/22 08:30:56:718 | [INFO] |  |  |  | SLCoreService |  |  | 7428 | Service construction took 0.5 ms and succeed.
